"group","d13C","d15N"
"Cod",-12.9414418492706,19.1891270575336
"Cod",-14.9606970123496,20.2393885171326
"Cod",-13.7782221532358,19.4880852680729
"Cod",-12.8387537113433,20.3147290719925
"Cod",-13.7518106220135,20.6266045501344
"Cod",-14.0224483064252,19.3149992387789
"Cod",-13.7995322140318,20.438751404485
"Cod",-13.4623484375945,19.3628509359076
"Cod",-14.0936612424418,20.4198232632929
"Cod",-13.905651073589,21.35827887804
"Cod",-13.9262758338513,19.1678950280135
"Cod",-13.6868057530313,19.788012425772
"Cod",-13.2005376767165,19.6706311129404
"Cod",-13.3641330375117,18.8909449896098
"Cod",-13.7963241698055,19.7092250006575
"Cod",-12.8085849901527,20.0780974717153
"Cod",-13.3156951657028,20.2833273640457
"Cod",-12.9744357791235,20.3542312463936
"Cod",-13.133788389105,19.853760579745
"Cod",-13.7832423219893,19.7248525989168
"Cod",-13.3928651102757,20.0040782693763
"Cod",-13.8631607523537,19.4644051852243
"Cod",-14.2133600250478,19.1620292900889
"Cod",-13.4099503102546,20.1841434071939
"Cod",-13.0354755163632,20.3041310979335
"Cod",-13.5949313647953,19.7851427973277
"Cod",-12.850112538838,19.9052858239613
"Cod",-13.116781483981,20.5392495209664
"Cod",-13.0635095956086,20.232412189717
"Cod",-13.9062715933988,20.1662118353271
"Pout",-13.4712742302772,18.5735349070421
"Pout",-13.1688808089372,17.5871443006781
"Pout",-14.2308458341089,17.3893822092431
"Pout",-13.7281971950292,18.7876265634133
"Pout",-13.8301056745744,17.1022657310779
"Pout",-13.9246653828988,17.5156540371333
"Pout",-13.896760167887,17.8936468037651
"Pout",-13.9695268037881,17.9447388491535
"Pout",-13.2835448524527,17.6429216699136
"Pout",-13.614759974877,17.551324738396
"Pout",-14.2143501817363,17.1261994668917
"Pout",-13.8250613694525,17.9338513482328
"Pout",-13.8711142464965,17.7780529906537
"Pout",-13.3058431745253,18.2561476720417
"Pout",-14.0642200557711,19.7484477464218
"Pout",-14.5103092817261,18.3253659879878
"Pout",-14.1553062260226,17.8932688631794
"Pout",-13.6581869834313,18.1019111605337
"Pout",-13.2520304325462,18.248850034497
"Pout",-14.3774240161117,18.1175274521105
"Pout",-13.6462859863116,18.2883109803542
"Pout",-13.2971781593335,18.8158987763118
"Pout",-13.5441823191232,17.3556966425076
"Pout",-13.1224210518939,17.4781621560161
"Pout",-13.3596156419447,18.4078243326191
"Pout",-13.6354404300495,18.1610268317901
"Pout",-13.3644988086691,18.9553812964299
"Pout",-14.4776676812982,18.3604342808816
"Pout",-13.986190148329,17.94541676002
"Pout",-14.279748796006,16.9463335556353
"Sardine",-14.5611099182888,16.9523101338759
"Sardine",-15.0472909406218,17.1519653336583
"Sardine",-14.6368814941625,16.909061849411
"Sardine",-15.1508554943822,17.5772638684255
"Sardine",-15.3608051638908,17.61031859468
"Sardine",-15.582641886691,16.9715188633453
"Sardine",-15.7134574271333,17.3241255655039
"Sardine",-15.7176675832337,16.8989488498785
"Sardine",-15.2456083814365,17.0023983385476
"Sardine",-15.0637771995493,17.7101468079979
"Sardine",-14.5544076525272,16.2244038097208
"Sardine",-15.0397736010501,17.5851025328089
"Sardine",-14.9573445389423,16.4165400955404
"Sardine",-14.9040885952186,17.1977818005764
"Sardine",-15.6135973458787,17.686820595538
"Sardine",-14.993741239457,17.5189803549584
"Sardine",-15.7314356954772,17.5972096210912
"Sardine",-15.403389151459,17.5255489837895
"Sardine",-15.2642845411564,16.8343006765781
"Sardine",-14.7919645361922,15.9984120097675
"Sardine",-15.8469840254404,16.1873778727341
"Sardine",-14.6474078366585,16.9979638124991
"Sardine",-15.5698569434988,16.447296234533
"Sardine",-14.6246922334259,16.0968361523405
"Sardine",-15.0252594886534,16.5121928333694
"Sardine",-15.0830862378682,16.8779016172532
"Sardine",-15.8104250518493,17.2562743001347
"Sardine",-14.6290994581335,16.5460227077137
"Sardine",-14.6752520348852,17.2729343584722
"Sardine",-15.1165338830913,17.0768603799624
"Shrimps",-15.4678214024479,15.89589441511
"Shrimps",-14.7082062891793,15.5067860954379
"Shrimps",-15.2488783223539,15.5002338484155
"Shrimps",-14.9789626557218,15.0179674018293
"Shrimps",-15.0563086696663,14.9867593601379
"Shrimps",-15.1363931124799,15.8559912703595
"Shrimps",-15.1447313354565,15.3816721526739
"Shrimps",-15.4302395715891,15.3147655315614
"Shrimps",-15.4641604726614,15.1196262266545
"Shrimps",-13.3380363174302,16.2799769400211
"Shrimps",-15.3433301715217,15.862650175339
"Shrimps",-15.5078489346547,14.5300340679201
"Shrimps",-14.8355614426688,16.4774307773419
"Shrimps",-14.1817835342347,15.6073543561369
"Shrimps",-14.1487709837087,15.5745961940151
"Shrimps",-14.8657881167442,15.6629116622772
"Shrimps",-14.812739031176,15.9015632071129
"Shrimps",-15.1421342753331,16.0898684279242
"Shrimps",-14.821342600848,15.3709132922285
"Shrimps",-15.0816717388518,16.4263357300024
"Shrimps",-15.1398175949833,16.1779071540031
"Shrimps",-13.944327643516,15.278130266051
"Shrimps",-14.952877024536,15.5485448434733
"Shrimps",-14.4898452850109,15.9417760237794
"Shrimps",-15.866542073422,14.6305198044236
"Shrimps",-15.959249389786,15.0992642106153
"Shrimps",-15.3772011279261,15.2098066103633
"Shrimps",-14.5635773625448,16.4456929300395
"Shrimps",-14.735010747484,15.7046781847177
"Shrimps",-15.2208863934242,15.4174417621348
"Crabs",-13.5095499555646,16.5116109364324
"Crabs",-13.751749026038,15.8312429798942
"Crabs",-13.3958032513123,16.9304642669793
"Crabs",-14.3649509626861,16.613955639411
"Crabs",-13.3410000294524,17.013796128354
"Crabs",-13.5303984006391,16.5519954677044
"Crabs",-13.8090872646695,16.502620427742
"Crabs",-13.8000279922414,16.2888070626471
"Crabs",-14.0561680552128,16.8076245382198
"Crabs",-13.4139006437735,15.8160107310068
"Crabs",-14.0382772287301,16.1105200804401
"Crabs",-14.9118179594475,16.5569704620985
"Crabs",-13.0286712178889,15.8907495192236
"Crabs",-13.8962099983043,15.9841454120018
"Crabs",-13.9325552657335,17.4018248108893
"Crabs",-13.6781618526258,16.0508151118361
"Crabs",-14.2207029770437,17.7869337808471
"Crabs",-14.4722727247763,16.9848668334004
"Crabs",-14.3104781901418,16.1410347904582
"Crabs",-14.5642204385729,16.5722189100438
"Crabs",-13.072809054802,16.1228728616354
"Crabs",-15.2100573127801,17.9058316722451
"Crabs",-14.9482078726358,15.8159824005908
"Crabs",-13.8412710311267,17.0657315248675
"Crabs",-13.603484649803,15.8423047836668
"Crabs",-13.2374403342757,16.6528445706263
"Crabs",-13.9346995461396,15.9039763857317
"Crabs",-13.0858092070875,16.3334295080641
"Crabs",-14.1732754488245,16.5784371430336
"Crabs",-14.2610093859716,16.5167778339198
"Bivalves",-15.5623439182936,13.610263632806
"Bivalves",-15.7549814308409,13.602236115077
"Bivalves",-15.4545150660644,13.7120295888586
"Bivalves",-14.9068546138295,14.012991927566
"Bivalves",-15.9098711167635,12.7272005000624
"Bivalves",-15.2130673770132,14.5647404617757
"Bivalves",-15.2234268658485,13.167952514763
"Bivalves",-15.4350079967723,13.7017314486293
"Bivalves",-14.9107460891782,12.5541676565634
"Bivalves",-15.9776475919416,12.970069354932
"Bivalves",-15.663898394281,13.0228490581363
"Bivalves",-15.5410375740717,13.259562361974
"Bivalves",-15.6266868053992,13.2621677724108
"Bivalves",-15.5577002990657,13.2254910067874
"Bivalves",-15.6951462576022,13.1700399195786
"Bivalves",-15.7838015231152,13.4092225339793
"Bivalves",-15.1729059136234,13.6986838019132
"Bivalves",-16.0202683424303,13.4676398636773
"Bivalves",-15.2728751988908,13.9406307441533
"Bivalves",-15.2762826735203,13.7421997308143
"Bivalves",-15.354939696905,13.4988462010164
"Bivalves",-15.5397481976448,14.2997445680308
"Bivalves",-15.3749667002267,13.3665602662725
"Bivalves",-15.5687356894653,12.7320812466638
"Bivalves",-15.2903608355691,13.4218417313301
"Bivalves",-15.2419428235977,13.4523204200942
"Bivalves",-15.4594065072265,13.9114054878668
"Bivalves",-15.3381866217256,14.1503327243234
"Bivalves",-14.3210066352098,13.6703421480069
"Bivalves",-15.5113817030975,12.9656946810952
"Worms",-13.3481111985941,12.5799995922314
"Worms",-14.3889071367594,12.12094976654
"Worms",-14.1931910691881,13.517685372423
"Worms",-13.9900575881388,12.759801168187
"Worms",-14.2306100400729,12.7069978259327
"Worms",-13.8255146283701,12.7456916990404
"Worms",-13.8956316524153,13.3767820862247
"Worms",-13.7163007520712,13.2160029514595
"Worms",-14.0024839229238,12.3907230185243
"Worms",-13.6552846655368,12.2814673557997
"Worms",-13.7882291879126,13.3873907918708
"Worms",-14.2513345982312,13.8799732531552
"Worms",-14.3554557180433,13.7763038414858
"Worms",-14.0038819854759,13.5343243677641
"Worms",-13.5781674102018,13.4394007882501
"Worms",-14.758402195004,13.2259456100821
"Worms",-14.6895458705999,13.1264424386076
"Worms",-14.4364232044587,13.5882153002737
"Worms",-14.3244869835292,13.3644297205485
"Worms",-13.0919024594199,12.7533664333807
"Worms",-13.573309056015,13.1888656420147
"Worms",-13.1833970404378,12.8913277594924
"Worms",-13.6459674316385,13.2855488573306
"Worms",-13.0835458462445,12.6055465160618
"Worms",-14.8034611447527,12.4573515553757
"Worms",-14.6861910366827,12.2715641583838
"Worms",-13.7139011323992,12.2014051641892
"Worms",-13.9142694844257,12.456013748587
"Worms",-14.6751120093232,13.1720949804388
"Worms",-13.1555778025662,12.4297579244625
"Zooplankton",-16.0143024933806,14.1189856381279
"Zooplankton",-15.3911890438123,12.7225586027237
"Zooplankton",-16.3009385624482,13.30017549238
"Zooplankton",-16.1565807002176,12.8447691382617
"Zooplankton",-16.3468046772773,13.3549982626311
"Zooplankton",-16.2114192772891,13.8319939834014
"Zooplankton",-16.5394091003833,13.5955116178345
"Zooplankton",-16.2491551427058,14.4743902264351
"Zooplankton",-15.9405080979474,14.0297911550657
"Zooplankton",-14.6929073375141,13.1646900179758
"Zooplankton",-15.2699231804157,12.979106848461
"Zooplankton",-15.2494725409648,13.6285413812109
"Zooplankton",-15.7236543453984,13.9094180202321
"Zooplankton",-15.559592923876,13.3173858201546
"Zooplankton",-15.3536796696758,12.2398479186612
"Zooplankton",-15.6507202011526,12.9593329873837
"Zooplankton",-16.0119272066166,13.2054126619241
"Zooplankton",-16.2047320252493,13.1608761135977
"Zooplankton",-15.7793998129079,13.2794612938039
"Zooplankton",-16.7083927557604,13.1413138107355
"Zooplankton",-16.2137817170584,13.4245140291021
"Zooplankton",-16.0747773942191,13.391469263357
"Zooplankton",-15.8452353374658,13.1101771169469
"Zooplankton",-16.4212298112484,13.698983724517
"Zooplankton",-15.9103258112702,13.7698361734604
"Zooplankton",-16.7790128906341,13.7329952852158
"Zooplankton",-15.8176885420449,13.990851090068
"Zooplankton",-15.8039618096668,13.3413728903528
"Zooplankton",-15.9040999436491,13.2994198648242
"Zooplankton",-16.5582391375019,13.7500754823902
"Phytoplankton",-16.8373691786058,10.6305845883258
"Phytoplankton",-17.2772066866936,9.61377287449995
"Phytoplankton",-16.8758311155878,9.74790242366858
"Phytoplankton",-16.5198414916858,9.59135216712806
"Phytoplankton",-17.0604483194667,9.76518875383597
"Phytoplankton",-17.2759846449863,10.0992371056818
"Phytoplankton",-16.7855491141924,10.2302185840285
"Phytoplankton",-16.0716094457208,10.2221097736461
"Phytoplankton",-16.6611466034218,10.6573790535388
