"X","Cod","Pout","Sardine","Shrimps","Crabs","Bivalves","Worms","Zooplankton","Phytoplankton","Detritus"
"Cod",0,0,0,0,0,0,0,0,0,0
"Pout",0.427506508707835,0,0,0,0,0,0,0,0,0
"Sardine",0.360367529373405,0,0,0,0,0,0,0,0,0
"Shrimps",0.0300736958590715,0.529585917414335,0.000214285060142193,0,0.00821072812572543,0,0,0,0,0
"Crabs",0.141042986103612,0.333277850939775,0,0,0,0,0,0,0,0
"Bivalves",0,0.000612968278377007,0,0,0.344108096583417,0,0,0,0,0
"Worms",0.0410092799560768,0.102367566516363,0,0.0171335972519459,0.443537726988816,0,0,0,0,0
"Zooplankton",0,0.0341556968511499,0.738137488362776,0.9121504813391,0,0,0,0,0,0
"Phytoplankton",0,0,0.261648226577082,6.09606045940261e-05,0,0.996684742643222,0,1,0,0
"Detritus",0,0,0,0.0706549608043606,0.204143448302042,0.00331525735677823,1,0,0,0
"pedigree",0.8,0.1,0.5,0.3,0.7,0.1,0.2,0.2,1,1
